heading_font,body_font,mood,best_for,google_fonts_url
Be Vietnam Pro,Inter,modern Vietnamese,"Southeast Asian markets, modern SaaS",https://fonts.google.com/share?selection.family=Be+Vietnam+Pro:wght@400;500;600;700
Nunito,Poppins,rounded friendly,"Education, children's apps, healthcare",https://fonts.google.com/share?selection.family=Nunito:wght@400;500;600;700
Quicksand,Quicksand,playful rounded,"Children's apps, creative, wellness",https://fonts.google.com/share?selection.family=Quicksand:wght@400;500;600;700
Raleway,Open Sans,elegant thin,"Fashion, luxury, photography portfolios",https://fonts.google.com/share?selection.family=Raleway:wght@400;500;600;700|Open+Sans:wght@400;500;600;700
Josefin Sans,Josefin Sans,vintage geometric,"Retro brands, creative, lifestyle",https://fonts.google.com/share?selection.family=Josefin+Sans:wght@400;500;600;700
Work Sans,Work Sans,versatile clean,"General purpose, web apps, startups",https://fonts.google.com/share?selection.family=Work+Sans:wght@400;500;600;700
Fira Sans,Droid Serif,technical readable,"Developer docs, technical content",https://fonts.google.com/share?selection.family=Fira+Sans:wght@400;500;600;700
Source Sans 3,Lora,Adobe professional,"Enterprise, government, documentation",https://fonts.google.com/share?selection.family=Source+Sans+3:wght@400;500;600;700
Nunito Sans,Merriweather,friendly readable,"Blog, education, healthcare content",https://fonts.google.com/share?selection.family=Nunito+Sans:wght@400;500;600;700
Lato,Lato,stable warm,"Corporate, general business, education",https://fonts.google.com/share?selection.family=Lato:wght@400;500;600;700
Montserrat,Open Sans,modern geometric,"Marketing, landing pages, startups",https://fonts.google.com/share?selection.family=Montserrat:wght@400;500;600;700
Rubik,Inter,slightly rounded,"Mobile apps, consumer products, SaaS",https://fonts.google.com/share?selection.family=Rubik:wght@400;500;600;700
Barlow,Barlow Condensed,technical modern,"Developer tools, dashboards, sports",https://fonts.google.com/share?selection.family=Barlow:wght@400;500;600;700
Prompt,Prompt,Thai-optimized modern,"Thai market apps, multilingual SaaS",https://fonts.google.com/share?selection.family=Prompt:wght@400;500;600;700
Kanit,Kanit,Thai geometric,"Thai market, gaming, creative",https://fonts.google.com/share?selection.family=Kanit:wght@400;500;600;700
Sarabun,Sarabun,Thai clean,"Thai enterprise, government, education",https://fonts.google.com/share?selection.family=Sarabun:wght@400;500;600;700
IBM Plex Sans,IBM Plex Mono,technical corporate,"Enterprise, developer tools, IBM-style",https://fonts.google.com/share?selection.family=IBM+Plex+Sans:wght@400;500;600;700|IBM+Plex+Mono:wght@400;500
JetBrains Mono,Inter,developer monospace,"Code editors, developer tools, terminals",https://fonts.google.com/share?selection.family=JetBrains+Mono:wght@400;500;600;700
Fira Code,Inter,programming ligatures,"Code editors, developer documentation",https://fonts.google.com/share?selection.family=Fira+Code:wght@400;500;600;700
Space Mono,Space Grotesk,monospace retro,"Retro tech, coding, creative coding",https://fonts.google.com/share?selection.family=Space+Mono:wght@400;700|Space+Grotesk:wght@400;500;600;700
