id,category,title,description,priority,do_dont
color-03,color,Accessible Pairs,Choose color combinations that work for color-blind users,MEDIUM,do:test with color blindness tools dont:rely on red-green only
color-04,color,Color Limiting,Use maximum 5-6 colors in a palette for consistency,MEDIUM,do:limit palette size dont:use too many colors
color-05,color,Status Colors,Use consistent status colors green success red error yellow warning,MEDIUM,do:use standard status colors dont:reinvent status indicators
animation-01,animation,Duration Keep animation duration between 150ms and 300ms for natural feel,MEDIUM,do:use 150-300ms dont:make animations too slow or instant
animation-02,animation,Easing,Use ease-out for entering elements ease-in for exiting elements,MEDIUM,do:use appropriate easing dont:use linear for everything
animation-03,animation,Reduced Motion,Always provide alternative for users who prefer reduced motion,HIGH,do:respect prefers-reduced-motion dont:force animations
animation-04,animation,Purpose,Motion should convey meaning or guide attention not decorative,MEDIUM,do:animate with purpose dont:add animation for its own sake
animation-05,animation,Exit Speed,Exit animations should be faster than enter animations typically 0.75x,MEDIUM,do:make exits faster dont:use same duration for enter exit
animation-06,animation,Spatial Continuity,Animated elements should move in direction consistent with user action,MEDIUM,do:maintain spatial logic dont:animate randomly
forms-01,forms,Visible Labels,Form inputs must have visible labels not just placeholder text,HIGH,do:show labels above inputs dont:use placeholder as only label
forms-02,forms,Error Placement,Show validation errors near the relevant form field,HIGH,do:place errors inline dont:show all errors at form top
forms-03,forms,Helper Text,Provide helper text for complex fields with format examples,MEDIUM,do:add helper text dont:leave users guessing format
forms-04,forms,Progressive Disclosure,Show essential fields first reveal additional fields as needed,MEDIUM,do:group related fields dont:overwhelm with all fields upfront
forms-05,forms,Input Types,Use correct input types email tel url number for better mobile UX,MEDIUM,do:use proper input types dont:text for everything
forms-06,forms,Auto Focus,Auto-focus first input on form pages but avoid on modal open,MEDIUM,do:focus first field dont:auto-focus when modal opens
navigation-01,navigation,Predictable Back,Browser back button must always work correctly,MHIGH,do:test back button dont:break browser history
navigation-02,navigation,Bottom Nav Limit,Mobile bottom navigation maximum 5 items,HIGH,do:limit nav items dont:overload bottom navigation
navigation-03,navigation,Deep Linking,All important pages must be accessible via direct URL,MHIGH,do:enable deep links dont:require sequential navigation
navigation-04,navigation,Breadcrumbs,Show breadcrumbs for nested navigation deeper than 2 levels,MEDIUM,do:add breadcrumbs dont:leave users lost in hierarchy
navigation-05,navigation,Active State,Clearly indicate current page or section in navigation,MEDIUM,do:highlight active item dont:leave navigation ambiguous
navigation-06,navigation,Search,Provide search functionality for content-heavy sites,MEDIUM,do:add search for large sites dont:make users browse everything
charts-01,charts,Chart Legends,Always include legends for charts with multiple data series,MEDIUM,do:add clear legends dont:assume colors are self-explanatory
charts-02,charts,Tooltips,Add interactive tooltips with detailed values on hover,MEDIUM,do:show detailed values on hover dont:hide exact numbers
charts-03,charts,Accessible Colors,Use color-blind friendly palettes for chart data series,MEDIUM,do:test color combinations dont:rely on red-green differentiation
charts-04,charts,Data Labels,Add data labels for important points to improve readability,MEDIUM,do:label key data points dont:force users to estimate values
charts-05,charts,Responsive Charts,Make charts responsive and readable on all screen sizes,MEDIUM,do:test on mobile dont:assume desktop-only viewing
